5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,ASIA-PACIFIC,COOPER,22.0,80.0,ONSHORE,222.0,2650.0,AQUIFER DRIVE,JURASSIC,560.0,0.6,18.0,48.0,0.65,146.0,13.1,44.0
1P ,AFRICA,LOWER CONGO,18.0,312.0,OFFSHORE,150.0,3843.0,AQUIFER DRIVE,PALEOGENE,790.0,0.44,27.0,32.0,1.1,680.0,1550.0,47.0
1P ,NORTH AMERICA,CHEROKEE,22.0,10.0,ONSHORE,95.0,600.0,GAS DRIVE,CARBONIFEROUS,110.0,0.75,21.0,37.0,5.0,350.0,1570.0,25.5
1P ,ASIA-PACIFIC,PAPUAN FTB,5.0,86.0,ONSHORE,192.6547489442462,2190.0,GAS DRIVE,JURASSIC,180.0,0.6,16.0,45.0,0.7,500.0,1000.0,44.0
1P ,ASIA-PACIFIC,PAPUAN FTB,8.0,139.0,ONSHORE,194.6730224320548,2360.0,GAS DRIVE,JURASSIC,170.0,0.6,19.0,45.0,0.7,500.0,1000.0,44.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,1400.0,40.0,ONSHORE,109.0,3380.0,AQUIFER DRIVE,NEOGENE,7500.0,0.27,23.0,33.0,1.3,850.0,3500.0,48.0
1P ,EUROPE,NORTH SEA NORTHERN,21.0,0.0,OFFSHORE,168.0,2553.0,AQUIFER DRIVE,PALEOGENE,180.0,0.97,33.0,19.0,11.0,81.0,1315.0,55.6
1P ,AFRICA,MELUT,22.0,0.0,ONSHORE,183.0,1900.0,AQUIFER DRIVE,PALEOGENE,1300.0,0.6,29.0,24.0,184.0,58.0,2900.0,20.7
1P ,MIDDLE EAST,THE GULF,879.0,200.0,ONSHORE,136.0,2100.0,AQUIFER DRIVE,CRETACEOUS,1350.0,0.8,24.0,32.0,1.2,700.0,190000.0,45.8
1P ,AFRICA,MUGLAD,22.0,22.0,ONSHORE,147.0,1550.0,AQUIFER DRIVE,CRETACEOUS,2700.0,0.6,28.0,17.0,497.0,14.0,503.0,19.0
1P ,MIDDLE EAST,MESOPOTAMIAN,436.0,0.0,ONSHORE,210.0,5186.0,AQUIFER DRIVE,CRETACEOUS,402.0,0.7,20.0,34.0,5.5,640.0,40000.0,54.4
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,7.0,0.0,OFFSHORE,174.0,7910.0,COMPACTION,NEOGENE,102.0,0.45,31.0,26.0,0.75,1323.0,1000.0,42.0
1P ,ASIA-PACIFIC,CARNARVON,2.0,0.0,OFFSHORE,265.0,3892.0,AQUIFER DRIVE,CRETACEOUS,115.0,0.4,15.0,55.0,0.3,460.0,1000.0,30.0
1P ,ASIA-PACIFIC,CARNARVON,8.0,250.0,OFFSHORE,265.0,3892.0,AQUIFER DRIVE,CRETACEOUS,427.0,0.9,17.0,55.0,0.3,670.0,250.0,71.2
1P ,EUROPE,NORTH SEA NORTHERN,20.0,0.0,OFFSHORE,139.0,2450.0,AQUIFER DRIVE,PALEOGENE,400.0,0.9,32.0,21.5,5.9,274.0,1000.0,46.0
1P ,LATIN AMERICA,BARINAS-APURE,119.0,22.0,ONSHORE,194.0,3130.0,AQUIFER DRIVE,PALEOGENE,450.0,0.6,27.0,29.0,5.3,9.0,1200.0,52.0
1P ,LATIN AMERICA,BARINAS-APURE,84.0,22.0,ONSHORE,185.0,3130.0,AQUIFER DRIVE,PALEOGENE,200.0,0.6,26.0,30.0,4.5,9.0,372.0,52.4
1P ,LATIN AMERICA,UPPER MAGDALENA,70.0,10.0,ONSHORE,105.0,300.0,AQUIFER DRIVE,CRETACEOUS,690.0,0.86,17.0,29.0,0.7,500.0,350.0,34.0
1P ,ASIA-PACIFIC,JIANGHAN,38.0,22.0,ONSHORE,218.0,4122.0,AQUIFER DRIVE,PALEOGENE,1968.5,0.06,16.8,31.9,3.2,222.0,38.7,51.4
1P ,ASIA-PACIFIC,JIANGHAN,114.0,25.0,ONSHORE,192.0,4614.0,GAS DRIVE,PALEOGENE,131.23,0.11,14.2,34.5,2.7,212.0,101.0,48.9
1P ,ASIA-PACIFIC,BOHAI,182.0,36.0,ONSHORE,208.0,3800.0,AQUIFER DRIVE,PALEOGENE,300.0,0.2,24.0,28.0,7.0,137.0,317.0,40.0
1P ,ASIA-PACIFIC,BOHAI,2240.0,9.0,ONSHORE,145.0,1813.0,AQUIFER DRIVE,NEOGENE,790.0,0.46,33.0,16.2,65.0,174.0,2612.0,36.3
1P ,EUROPE,NORTH SEA NORTHERN,162.0,90.0,OFFSHORE,162.0,4498.0,GAS DRIVE,JURASSIC,980.0,0.6,30.0,39.0,0.7,810.0,2595.0,66.2
1P ,EUROPE,NORTH SEA NORTHERN,22.0,90.0,OFFSHORE,169.0,4600.0,GAS DRIVE,JURASSIC,460.0,0.6,25.0,39.0,0.7,645.0,1000.0,60.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,90.0,OFFSHORE,176.0,4715.0,GAS DRIVE,JURASSIC/TRIASSIC,630.0,0.6,26.0,39.0,0.7,915.0,1000.0,60.0
1P ,ASIA-PACIFIC,MALAY,95.0,200.0,OFFSHORE,212.0,2205.0,AQUIFER DRIVE,NEOGENE,3940.0,0.6,20.0,48.0,0.25,220.0,1258.0,46.0
1P ,EUROPE,NORTH SEA CENTRAL,31.0,240.0,OFFSHORE,320.0,8768.0,GAS DRIVE,JURASSIC,310.0,0.6,17.0,41.0,0.7,1100.0,540.0,45.0
1P ,ASIA-PACIFIC,GIPPSLAND,46.0,450.0,OFFSHORE,220.0,3415.0,AQUIFER DRIVE,PALEOGENE,505.0,0.61,20.0,43.0,3.02,90.0,1460.0,70.1
1P ,ASIA-PACIFIC,KUTAI,354.0,22.0,OFFSHORE,293.0,5022.0,AQUIFER DRIVE,NEOGENE,12500.0,0.6,18.0,33.5,2.6,420.0,2250.0,51.2
1P ,EUROPE,NORTH SEA NORTHERN,15.0,48.0,OFFSHORE,140.0,2580.0,GAS DRIVE,PALEOGENE,200.0,0.99,35.0,20.0,10.0,238.0,1000.0,44.0
1P ,ASIA-PACIFIC,CARNARVON,18.0,160.0,OFFSHORE,199.0,2793.0,AQUIFER DRIVE,CRETACEOUS,869.0,0.92,22.0,38.0,2.21,540.0,115.0,48.0
1P ,NORTH AMERICA,POWDER RIVER,211.0,160.0,ONSHORE,194.0,5000.0,GAS DRIVE,CRETACEOUS,40.0,0.6,12.0,36.0,1.02,292.0,353.0,36.2
1P ,AFRICA,BERKINE (GHADAMES),24.0,0.0,ONSHORE,197.0,5050.0,GAS DRIVE,TRIASSIC,148.0,0.44,17.0,42.0,0.7,1130.0,1000.0,50.0
1P ,AFRICA,OUED MYA-GHADAMES,1070.0,0.0,ONSHORE,258.0,6870.0,GAS DRIVE,CAMBRIAN,300.0,0.9,8.0,46.0,0.21,1150.0,41000.0,24.4
1P ,NORTH AMERICA,POWDER RIVER,11.0,40.0,ONSHORE,265.0,4472.0,GAS DRIVE,PERMIAN,140.0,0.45,13.0,36.0,0.7,163.0,10.0,47.7
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,678.0,20.0,ONSHORE,168.0,1985.0,GAS DRIVE,CRETACEOUS,560.0,0.54,27.0,24.0,3.7,370.0,1572.0,63.0
1P ,MIDDLE EAST,RUB AL KHALI,150.0,250.0,ONSHORE,173.0,3656.233038585337,AQUIFER DRIVE,PERMIAN,200.0,0.75,20.0,49.5,0.7,500.0,1000.0,44.0
1P ,EUROPE,NORTH SEA NORTHERN,58.0,90.0,OFFSHORE,234.5,4950.0,GAS DRIVE,JURASSIC,224.0,0.48,14.5,34.5,0.53,800.0,488.0,30.0
1P ,EUROPE,MID-NORWAY SHELF,47.0,0.0,OFFSHORE,185.0,3640.0,GAS DRIVE,JURASSIC/TRIASSIC,673.0,0.5,27.0,23.5,2.3,438.0,1074.0,27.3
1P ,EUROPE,MID-NORWAY SHELF,89.0,0.0,OFFSHORE,185.0,3640.0,GAS DRIVE,JURASSIC/TRIASSIC,1280.0,0.66,27.0,25.5,1.65,510.0,3239.0,42.0
1P ,EUROPE,MID-NORWAY SHELF,47.0,0.0,OFFSHORE,185.0,3640.0,GAS DRIVE,JURASSIC,230.0,0.9,28.0,29.0,0.8,620.0,1091.0,65.0
1P ,EUROPE,MID-NORWAY SHELF,47.0,0.0,OFFSHORE,185.0,3640.0,GAS DRIVE,JURASSIC,394.0,0.82,25.0,24.5,1.85,475.0,1073.0,32.0
1P ,NORTH AMERICA,JEANNE D ARC,6.0,0.0,OFFSHORE,151.0,3882.0,AQUIFER DRIVE,CRETACEOUS,1180.0,0.3,20.0,31.8,1.3,540.0,1539.0,8.0
1P ,NORTH AMERICA,JEANNE D ARC,28.0,0.0,OFFSHORE,203.0,5729.0,GAS DRIVE,CRETACEOUS,650.0,0.5,16.0,34.6,0.55,1350.0,2029.0,54.0
1P ,NORTH AMERICA,POWDER RIVER,355.0,160.0,ONSHORE,203.91523822073927,4010.0,GAS DRIVE,CRETACEOUS,200.0,0.6,15.0,42.0,0.7,1250.0,300.0,28.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,6.0,300.0,OFFSHORE,140.0,6873.0,AQUIFER DRIVE,NEOGENE,87.0,0.8,34.0,29.0,5.23,1080.0,140.7,44.0
1P ,NORTH AMERICA,POWDER RIVER,206.0,160.0,ONSHORE,203.91523822073927,3241.0,GAS DRIVE,CRETACEOUS,40.0,0.4,13.0,36.0,0.7,839.0,159.0,28.3
1P ,ASIA-PACIFIC,JIANGHAN,56.0,22.0,ONSHORE,193.0,3832.0,AQUIFER DRIVE,PALEOGENE,1574.8,0.6,18.0,31.5,3.5,204.0,29.2,35.4
1P ,NORTH AMERICA,LOS ANGELES,22.0,0.0,ONSHORE-OFFSHORE,141.0,1214.0,AQUIFER DRIVE,NEOGENE,700.0,0.54,28.0,21.5,89.0,124.0,1000.0,35.0
1P ,NORTH AMERICA,LOS ANGELES,22.0,0.0,ONSHORE-OFFSHORE,146.23445872464853,1800.0,AQUIFER DRIVE,NEOGENE,800.0,1.0,27.0,20.5,0.8,500.0,1000.0,38.0
1P ,NORTH AMERICA,LOS ANGELES,22.0,0.0,ONSHORE-OFFSHORE,125.0,1140.0,AQUIFER DRIVE,NEOGENE,660.0,0.26,38.0,17.5,240.0,500.0,1000.0,11.0
1P ,NORTH AMERICA,LOS ANGELES,2216.0,0.0,ONSHORE-OFFSHORE,125.0,1140.0,AQUIFER DRIVE,NEOGENE,2160.0,0.62,27.0,19.83,109.93,500.0,1000.0,44.0
1P ,ASIA-PACIFIC,JUNGGAR,92.0,30.0,ONSHORE,130.0,2068.0,GAS DRIVE,PERMIAN,200.0,0.6,13.0,27.0,8.9,281.0,86.78,25.0
1P ,ASIA-PACIFIC,PAPUAN FTB,44.0,220.0,ONSHORE,140.0,2115.0,GAS DRIVE,CRETACEOUS,328.0,0.91,13.0,43.0,0.3,1000.0,1000.0,44.0
1P ,NORTH AMERICA,LOS ANGELES,989.0,2.0,ONSHORE,100.0,570.0,GAS DRIVE,NEOGENE,1200.0,0.45,32.0,18.7,25.3,140.0,1000.0,43.0
1P ,EUROPE,NORTH SEA CENTRAL,5.0,160.0,OFFSHORE,175.0,3510.0,AQUIFER DRIVE,JURASSIC,285.0,0.98,23.0,30.0,1.27,360.0,107.0,68.0
1P ,EUROPE,PANNONIAN,22.0,22.0,ONSHORE,208.0,2719.0,GAS DRIVE,NEOGENE,574.0,0.6,23.0,33.4,0.8,350.0,165.0,47.0
1P ,ASIA-PACIFIC,BROWSE,23.0,240.0,OFFSHORE,162.0,2363.0,AQUIFER DRIVE,JURASSIC,560.0,0.95,20.0,42.0,0.7,450.0,169.0,44.0
1P ,ASIA-PACIFIC,EROMANGA,44.0,50.0,ONSHORE,210.0,2215.0,AQUIFER DRIVE,JURASSIC,200.0,0.9,20.5,39.0,1.49,6.0,90.0,44.0
1P ,ASIA-PACIFIC,EROMANGA,44.0,50.0,ONSHORE,155.9197101569983,2502.5441311105324,AQUIFER DRIVE,JURASSIC,320.0,0.15,13.4,41.0,1.5,11.0,14.6,20.6
1P ,NORTH AMERICA,PERMIAN,575.0,40.0,ONSHORE,145.0,2700.0,GAS DRIVE,PERMIAN,150.0,0.6,12.0,49.0,0.17,2650.0,1000.0,15.0
1P ,ASIA-PACIFIC,BOHAI,63.0,15.0,ONSHORE,221.0,4569.0,GAS DRIVE,PALEOGENE,1180.0,0.25,17.0,27.5,1.9,386.0,51.6,48.2
1P ,NORTH AMERICA,WESTERN CANADA,22.0,40.0,ONSHORE,124.0,1140.0,GAS DRIVE,CRETACEOUS,115.0,0.09,13.2,40.0,1.0,376.0,89.0,49.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,32.0,20.0,OFFSHORE,122.0,5545.0,GAS DRIVE,NEOGENE,3700.0,0.1,31.0,34.0,0.7,1153.0,174.0,21.7
1P ,EUROPE,NORTH SEA NORTHERN,21.0,123.0,OFFSHORE,180.0,2915.0,AQUIFER DRIVE,PALEOGENE,196.85,0.6,28.0,36.0,0.7,350.0,1000.0,44.0
1P ,LATIN AMERICA,CAMPOS,15.0,0.0,OFFSHORE,334.0,4123.0,GAS DRIVE,CRETACEOUS,1150.0,0.73,28.0,17.0,14.0,258.0,3000.0,20.0
2P ,AFRICA,TANO,10.0,0.0,OFFSHORE,210.2,5259.07,GRAVITY DRAINAGE,CRETACEOUS,820.21,0.55,21.0,36.95,0.23,1431.72,2771.29,37.2
1P ,EUROPE,NORTH SEA CENTRAL,10.0,121.0,OFFSHORE,315.0,9070.0,GAS DRIVE,TRIASSIC,200.0,0.61,20.3,42.0,0.7,3750.0,471.0,27.0
1P ,AFRICA,GULF OF SUEZ,22.0,0.0,OFFSHORE,220.0,4608.02638725205,AQUIFER DRIVE,NEOGENE,200.0,0.6,18.5,33.0,0.65,544.0,1000.0,54.0
1P ,AFRICA,GULF OF SUEZ,22.0,0.0,OFFSHORE,280.0,5473.293067858153,AQUIFER DRIVE,PALEOZOIC,200.0,0.6,14.0,31.5,0.65,496.0,1000.0,44.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,750.0,0.0,ONSHORE,108.0,578.0,GAS DRIVE,NEOGENE,700.0,0.5,32.0,9.0,2500.0,65.0,557000.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,8.0,0.0,OFFSHORE,225.0,15794.0,GAS DRIVE,NEOGENE,200.0,0.6,22.0,28.0,4.5,567.0,454.0,22.0
1P ,FORMER SOVIET UNION,USTYURT NORTH,2500.0,0.0,ONSHORE,100.0,1200.0,AQUIFER DRIVE,JURASSIC,200.0,0.5,28.0,24.0,19.0,100.0,3486.0,33.0
1P ,ASIA-PACIFIC,CAMBAY,22.0,120.0,ONSHORE,185.0,3371.0,GAS DRIVE,PALEOGENE,740.0,0.6,24.0,37.0,0.8,400.0,1165.0,21.0
1P ,FORMER SOVIET UNION,USTYURT NORTH,22.0,0.0,ONSHORE,99.0,840.0,AQUIFER DRIVE,JURASSIC,154.0,0.6,28.0,18.5,250.0,40.0,500.0,40.0
1P ,FORMER SOVIET UNION,USTYURT NORTH,1138.0,0.0,ONSHORE,75.0,450.0,AQUIFER DRIVE,CRETACEOUS,135.0,0.65,28.0,18.5,250.0,40.0,1170.0,41.0
1P ,ASIA-PACIFIC,JUNGGAR,22.0,2.0,ONSHORE,154.0,304.0,GAS DRIVE,JURASSIC,330.0,0.64,29.0,20.3,10000.0,28.0,545.0,44.0
1P ,FORMER SOVIET UNION,CASPIAN NORTH,22.0,0.0,ONSHORE,68.0,406.0,AQUIFER DRIVE,JURASSIC,394.0,0.6,30.0,24.0,219.0,200.0,592.0,30.0
1P ,NORTH AMERICA,SAN JOAQUIN,2271.0,2.5,ONSHORE,104.0,570.0,AQUIFER DRIVE,NEOGENE,700.0,0.45,36.5,14.0,4150.0,60.0,665.0,35.0
1P ,NORTH AMERICA,SAN JOAQUIN,15713.0,1.5,ONSHORE,90.0,79.7974254134433,GRAVITY DRAINAGE,NEOGENE,800.0,0.76,31.0,13.0,4000.0,5.0,4000.0,66.0
1P ,ASIA-PACIFIC,NATUNA WEST,14.0,0.0,OFFSHORE,167.0,1503.0,AQUIFER DRIVE,PALEOGENE,1500.0,0.6,21.0,51.0,0.39,711.0,241.0,23.0
1P ,ASIA-PACIFIC,NATUNA WEST,5.0,0.0,OFFSHORE,217.0,2506.0,AQUIFER DRIVE,NEOGENE/PALEOGENE,5800.0,0.24,23.0,46.0,0.48,550.0,42.5,62.0
1P ,MIDDLE EAST,THE GULF,180.0,32.0,OFFSHORE,159.9193374956434,2690.018578575188,AQUIFER DRIVE,CRETACEOUS,650.0,0.6,25.0,28.5,5.0,220.0,27000.0,33.3
1P ,AFRICA,MATRUH-SHUSHAN,22.0,116.0,ONSHORE,195.0,2550.0,GAS DRIVE,CRETACEOUS,100.0,0.6,20.5,38.0,6.5,16.0,113.5,23.3
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,224.0,0.0,ONSHORE,190.0,6500.0,AQUIFER DRIVE,DEVONIAN,410.0,0.6,9.5,0.0,15.0,905.0,1000.0,44.0
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,224.0,0.0,ONSHORE,167.9801249012204,2440.0,AQUIFER DRIVE,TRIASSIC/PERMIAN,200.0,0.6,20.0,0.0,0.7,500.0,1000.0,44.0
1P ,ASIA-PACIFIC,SABAH,15.0,0.0,OFFSHORE,166.63871142456713,3689.0,GAS DRIVE,NEOGENE,5350.0,0.6,22.0,35.5,0.7,650.0,500.0,36.0
1P ,ASIA-PACIFIC,GIPPSLAND,54.0,160.0,OFFSHORE,215.0,3303.0,AQUIFER DRIVE,PALEOGENE,200.0,0.75,21.0,47.0,2.15,363.0,1000.0,59.0
2P ,AFRICA,ALBERT,22.0,0.0,ONSHORE-OFFSHORE,189.76271071476435,3445.0,AQUIFER DRIVE,NEOGENE,330.0,0.34,23.0,31.0,0.7,235.0,600.0,33.0
1P ,NORTH AMERICA,POWDER RIVER,364.0,80.0,ONSHORE,184.0,4397.0,GAS DRIVE,CRETACEOUS,80.0,0.6,10.0,40.0,0.7,1050.0,1000.0,44.0
1P ,AFRICA,LOWER CONGO,22.0,0.0,OFFSHORE,134.51407383693956,1499.1981936133072,AQUIFER DRIVE,NEOGENE,574.15,0.6,25.0,31.14,12.0,623.22,1000.0,44.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,22.0,0.0,ONSHORE,145.0,2552.0,AQUIFER DRIVE,CARBONIFEROUS,65.62,0.5,20.0,40.0,2.0,1300.0,616.0,66.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,300.0,120.0,ONSHORE,260.0,2060.0,GAS DRIVE,NEOGENE,350.0,0.6,16.0,29.0,0.7,44.0,835.0,47.5
1P ,FORMER SOVIET UNION,VOLGA-URAL,113.0,119.0,ONSHORE,118.0,2669.0,AQUIFER DRIVE,CARBONIFEROUS,74.0,0.86,20.0,45.0,0.66,711.0,372.0,56.0
1P ,NORTH AMERICA,NORTH SLOPE,619.0,80.0,ONSHORE,155.0,3125.0,GAS DRIVE,CRETACEOUS,180.0,0.35,24.0,24.0,2.0,500.0,6452.0,47.0
1P ,NORTH AMERICA,NORTH SLOPE,619.0,80.0,ONSHORE,155.0,3125.0,GAS DRIVE,CRETACEOUS,150.0,0.25,23.0,24.0,2.0,500.0,3690.0,45.0
1P ,NORTH AMERICA,NORTH SLOPE,619.0,160.0,ONSHORE,155.0,3125.0,GAS DRIVE,CRETACEOUS,45.0,0.45,24.0,24.0,2.0,500.0,2160.0,53.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,43.0,100.0,ONSHORE,158.9840400256833,2045.0,AQUIFER DRIVE,NEOGENE,600.0,0.6,24.0,45.0,0.7,17.0,150.0,33.3
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,450.0,120.0,ONSHORE,230.0,3800.0,GAS DRIVE,CRETACEOUS,250.0,0.5,9.3,38.0,0.33,757.0,528.0,19.0
1P ,LATIN AMERICA,MIDDLE MAGDALENA,1720.0,10.7,ONSHORE,100.0,750.0,GAS DRIVE,NEOGENE/PALEOGENE,2300.0,0.3,27.0,24.0,12.0,150.0,3900.0,25.6
1P ,LATIN AMERICA,CHACO,82.0,50.0,ONSHORE,208.468660113966,3750.0,AQUIFER DRIVE,CARBONIFEROUS,200.0,0.6,23.0,42.0,0.45,500.0,51.6,48.0
1P ,LATIN AMERICA,CHACO,22.0,50.0,ONSHORE,208.468660113966,3700.0,GAS DRIVE,CARBONIFEROUS,394.0,0.21,21.0,42.0,0.45,500.0,33.8,48.0
1P ,LATIN AMERICA,CUYO,4.0,0.0,ONSHORE,230.0,2600.0,GAS DRIVE,TRIASSIC,200.0,0.6,20.1,29.0,10.0,84.0,1000.0,44.0
1P ,LATIN AMERICA,CUYO,405.0,0.0,ONSHORE,230.0,2600.0,GAS DRIVE,JURASSIC/TRIASSIC,1800.0,0.05,18.0,29.5,8.0,115.0,1271.0,36.5
1P ,LATIN AMERICA,ESPIRITO SANTO,74.0,12.0,ONSHORE,166.0,2247.0,AQUIFER DRIVE,PALEOGENE,295.28,0.24,23.0,30.0,1.5,438.0,67.0,49.2
1P ,LATIN AMERICA,MARACAIBO,101.0,22.0,OFFSHORE,165.45728304145965,2949.598582757019,AQUIFER DRIVE,NEOGENE,25.0,1.0,20.0,0.0,0.7,500.0,434.0,44.0
1P ,LATIN AMERICA,MARACAIBO,776.0,6.4,ONSHORE-OFFSHORE,128.0,1360.0,COMPACTION,NEOGENE,200.0,0.9,30.0,12.0,635.0,87.0,6621.0,16.2
1P ,LATIN AMERICA,MARACAIBO,1023.0,356.0,OFFSHORE,152.0,1785.0,AQUIFER DRIVE,NEOGENE,200.0,0.6,33.5,18.0,21.0,213.0,3800.0,44.8
1P ,LATIN AMERICA,MARACAIBO,22.0,103.0,OFFSHORE,159.30401021277493,2661.1763558883176,GRAVITY DRAINAGE,PALEOGENE,200.0,0.75,20.0,25.0,1.5,630.0,1000.0,44.0
1P ,ASIA-PACIFIC,ASSAM,266.0,16.0,ONSHORE,165.0,3533.0,AQUIFER DRIVE,NEOGENE,200.0,0.75,22.0,25.0,0.7,320.0,321.0,55.0
1P ,LATIN AMERICA,MARACAIBO,397.0,90.0,OFFSHORE,190.0,7100.0,AQUIFER DRIVE,PALEOGENE,3150.0,0.88,22.0,32.0,8.72,950.0,7600.0,40.1
1P ,LATIN AMERICA,MARACAIBO,121.0,90.0,OFFSHORE,220.0,4080.213712082327,GAS DRIVE,NEOGENE,60.0,0.55,25.0,31.0,8.72,800.0,750.0,29.9
1P ,ASIA-PACIFIC,BONAPARTE,6.0,0.0,OFFSHORE,257.0,4700.0,AQUIFER DRIVE,JURASSIC,360.0,0.9,17.0,0.0,0.26,190.0,422.0,58.0
1P ,ASIA-PACIFIC,CAMBAY,135.0,22.0,ONSHORE,149.0,1610.0,AQUIFER DRIVE,PALEOGENE,160.0,0.6,29.0,13.0,550.0,7.0,225.0,11.5
1P ,ASIA-PACIFIC,JIUQUAN,22.0,6.0,ONSHORE,60.0,560.0,GAS DRIVE,PALEOGENE,213.25,0.2,21.0,33.8,5.95,132.0,50.0,30.0
1P ,ASIA-PACIFIC,JIUQUAN,22.0,6.0,ONSHORE,86.0,1390.0,GAS DRIVE,PALEOGENE,180.0,0.35,23.0,33.4,3.25,343.0,176.0,51.0
1P ,ASIA-PACIFIC,JIUQUAN,22.0,6.0,ONSHORE,90.0,1350.0,GAS DRIVE,PALEOGENE,210.0,0.9,17.8,32.3,4.2,245.0,164.0,37.0
1P ,EUROPE,WESTERN BLACK SEA,22.0,0.0,OFFSHORE,184.58165499301185,3846.0148638649416,GAS DRIVE,CRETACEOUS,200.0,0.6,20.0,35.0,0.7,792.0,1000.0,44.0
1P ,ASIA-PACIFIC,CARNARVON,6.0,0.0,OFFSHORE,177.43352101338533,2780.0,AQUIFER DRIVE,CRETACEOUS,205.0,0.9,22.0,44.5,0.7,820.0,90.0,49.0
1P ,ASIA-PACIFIC,QAIDAM,84.0,3.9,ONSHORE,73.4,1176.0,GAS DRIVE,JURASSIC,2297.0,0.6,21.0,43.0,2.5,518.0,18.7,13.0
