Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days,Prob_rain
1982-01-01,26.5,21.9,29.8,25.9,31.9,5.6,25.4,36.5,107.1,49.0,81.2,10.0,1
1982-02-01,25.7,22.6,32.3,27.1,34.3,7.6,25.5,9.4,27.8,49.0,79.5,5.0,1
1982-03-01,26.0,22.3,31.7,27.2,34.3,5.1,25.3,61.7,160.8,51.0,82.3,11.0,1
1982-04-01,26.1,22.2,31.4,27.0,33.2,4.7,25.8,45.1,157.0,54.0,85.9,14.0,1
1982-05-01,25.7,23.7,31.7,28.0,32.9,5.8,26.1,33.0,102.2,57.0,83.2,10.0,1
1982-06-01,26.1,23.1,31.9,28.4,33.3,7.3,25.3,20.6,59.5,53.0,80.3,8.0,1
1982-07-01,25.9,22.1,31.6,28.2,33.0,7.6,25.4,17.2,76.3,38.0,77.6,8.0,1
1982-08-01,26.1,21.9,31.1,27.7,33.2,5.4,25.4,57.7,169.5,52.0,80.4,11.0,1
1982-09-01,25.8,23.5,31.4,27.9,33.2,5.2,25.0,18.0,54.1,49.0,80.6,9.0,1
1982-10-01,25.7,22.6,32.1,27.4,33.8,5.6,25.8,10.0,39.3,49.0,81.5,10.0,1
1982-11-01,25.8,23.1,32.4,27.3,34.3,5.8,25.4,39.6,134.0,47.0,83.4,13.0,1
1982-12-01,25.7,22.8,29.9,26.2,33.0,3.3,25.2,109.0,494.1,56.0,87.7,21.0,2
1983-01-01,25.9,23.0,30.3,26.5,32.1,4.3,25.1,43.2,246.0,53.0,85.6,18.0,2
1983-02-01,26.0,23.1,33.1,28.1,34.6,9.3,25.5,5.1,5.6,41.0,78.0,2.0,0
1983-03-01,25.8,24.3,34.4,28.9,35.8,8.9,25.8,18.3,18.6,40.0,76.0,2.0,0
1983-04-01,25.5,23.5,34.3,29.4,35.8,6.6,25.5,21.3,33.6,39.0,77.2,4.0,0
1983-05-01,26.1,23.5,32.5,28.3,34.0,5.9,25.7,32.3,160.8,58.0,83.2,11.0,1
1983-06-01,25.8,21.3,31.9,28.3,33.6,5.9,25.3,27.7,94.0,51.0,82.4,11.0,1
1983-07-01,26.4,21.4,31.0,27.6,33.0,5.4,25.4,55.5,190.0,54.0,83.7,18.0,2
1983-08-01,26.1,22.1,31.5,28.1,32.7,6.3,25.1,181.8,262.2,44.0,81.2,10.0,1
1983-09-01,25.8,22.4,31.1,27.2,32.8,3.8,25.3,50.3,170.8,55.0,84.4,18.0,2
1983-10-01,25.5,22.4,31.5,27.6,33.7,5.2,25.5,40.0,212.7,47.0,82.5,17.0,2
1983-11-01,26.1,21.3,30.5,26.6,32.6,3.2,25.9,54.8,228.8,49.0,85.2,18.0,2
1983-12-01,25.6,21.9,28.9,25.4,31.3,2.7,25.6,164.4,370.6,57.0,88.0,16.0,2
1984-01-01,25.4,21.2,29.5,25.5,31.7,4.1,25.5,62.3,251.2,55.0,85.8,18.0,2
1984-02-01,26.3,21.1,30.0,25.8,31.5,4.1,25.0,154.4,470.4,58.0,86.0,19.0,2
1984-03-01,25.7,22.1,30.8,26.5,32.8,5.3,25.7,119.4,361.3,56.0,85.4,19.0,2
1984-04-01,25.8,22.7,31.3,27.3,32.7,6.2,25.7,38.7,153.1,55.0,83.8,17.0,2
1984-05-01,26.0,21.9,31.3,27.3,32.9,6.4,25.5,46.0,186.5,54.0,84.1,12.0,1
1984-06-01,25.6,21.4,31.1,27.5,32.7,5.4,25.8,121.1,255.0,52.0,83.1,14.0,1
1984-07-01,25.7,22.5,30.7,27.2,33.0,5.7,25.3,49.2,127.2,55.0,83.7,12.0,1
1984-08-01,25.7,22.4,31.2,27.4,32.8,6.0,25.2,22.5,102.7,60.0,84.1,13.0,1
1984-09-01,26.4,21.0,30.9,26.8,32.4,4.9,25.3,46.5,186.7,49.0,83.9,17.0,2
1984-10-01,26.0,21.2,31.6,27.4,33.4,5.3,25.7,47.2,187.5,53.0,82.5,11.0,1
1984-11-01,26.0,22.8,31.0,26.5,32.7,4.3,25.6,35.4,127.7,58.0,86.3,17.0,2
1984-12-01,26.0,22.0,30.0,26.0,32.2,3.3,25.7,58.4,277.4,58.0,86.7,22.0,2
1985-01-01,25.7,22.2,31.2,26.6,33.0,8.7,25.4,35.5,111.1,49.0,81.5,7.0,1
1985-02-01,26.2,22.2,32.1,27.0,33.7,6.5,26.3,18.7,79.3,51.0,84.0,11.0,1
1985-03-01,25.5,23.1,31.8,27.1,33.3,5.6,25.3,23.8,88.0,56.0,83.9,13.0,1
1985-04-01,25.9,22.4,32.2,27.5,34.2,5.5,25.3,29.3,110.5,55.0,83.8,14.0,1
1985-05-01,26.0,23.5,31.8,28.0,33.6,5.7,25.1,36.2,70.1,55.0,83.4,12.0,1
1985-06-01,26.1,23.4,32.1,28.2,35.0,5.8,25.3,9.9,37.0,43.0,79.4,14.0,1
1985-07-01,26.2,21.0,30.8,27.0,33.3,5.3,25.6,32.2,131.8,50.0,83.1,17.0,2
1985-08-01,26.0,21.3,31.5,27.7,33.0,6.2,25.8,21.4,56.9,53.0,80.4,11.0,1
1985-09-01,25.9,22.1,30.9,26.9,32.5,5.0,25.6,22.0,110.7,48.0,83.1,18.0,2
1985-10-01,25.8,21.7,30.6,26.7,33.4,4.1,25.0,30.2,169.0,43.0,84.7,21.0,2
1985-11-01,25.8,22.5,31.1,26.6,33.0,4.1,25.4,38.2,179.4,54.0,85.0,21.0,2
1985-12-01,25.7,22.9,30.2,26.1,32.4,4.6,25.4,86.8,340.1,56.0,86.2,22.0,2
1986-01-01,25.4,21.5,29.3,25.7,31.4,3.9,25.7,95.6,308.2,55.0,83.9,13.0,1
1986-02-01,26.0,22.5,31.9,26.9,33.2,7.2,25.0,23.0,26.7,48.0,78.4,2.0,0
1986-03-01,26.0,22.6,30.5,26.4,32.7,4.6,25.3,71.1,353.4,55.0,86.6,17.0,2
1986-04-01,25.7,22.4,31.7,27.4,32.8,6.2,25.2,56.4,150.0,54.0,85.3,14.0,1
1986-05-01,26.1,22.0,31.8,28.2,33.4,6.1,25.0,51.3,145.1,48.0,81.8,13.0,1
1986-06-01,25.8,22.2,31.6,27.9,33.2,6.8,25.7,34.5,122.9,50.0,82.5,13.0,1
1986-07-01,26.1,21.9,31.5,27.9,33.2,6.2,25.9,23.5,109.7,48.0,79.9,12.0,1
1986-08-01,26.2,21.9,31.9,28.3,34.2,5.6,25.2,28.4,72.9,40.0,77.3,11.0,1
1986-09-01,25.5,21.2,30.6,26.7,32.4,4.8,24.6,97.6,396.0,54.0,84.4,22.0,2
1986-10-01,25.8,22.5,30.9,26.9,32.6,5.0,24.9,65.6,227.3,57.0,85.0,20.0,2
1986-11-01,25.9,22.8,30.9,26.6,32.8,4.5,24.5,40.5,256.7,53.0,84.1,21.0,2
1986-12-01,25.8,22.5,30.3,26.3,32.0,5.4,24.4,131.7,367.2,55.0,85.2,16.0,2
1987-01-01,25.3,22.1,28.8,25.5,31.4,4.0,23.7,127.4,568.6,56.0,86.0,16.0,2
1987-02-01,25.5,22.8,31.6,26.6,33.0,9.2,23.8,34.8,86.9,47.0,79.0,7.0,1
1987-03-01,26.4,23.0,32.1,27.5,33.3,6.9,25.2,40.9,132.5,50.0,83.2,12.0,1
1987-04-01,25.9,22.5,32.6,27.9,34.6,6.2,25.6,27.7,72.5,51.0,82.8,10.0,1
1987-05-01,25.8,22.4,31.7,27.6,33.2,5.6,25.6,81.4,270.0,59.0,84.6,16.0,2
1987-06-01,25.5,22.0,32.4,28.7,33.5,6.8,26.0,30.7,126.6,47.0,80.7,15.0,2
1987-07-01,25.9,22.5,31.6,28.1,33.7,6.7,25.5,21.6,80.9,55.0,81.3,11.0,1
1987-08-01,25.7,22.5,31.1,27.4,33.8,5.1,25.2,48.2,191.9,57.0,83.6,16.0,2
1987-09-01,25.4,21.2,31.7,27.6,33.6,5.4,25.2,44.5,129.9,51.0,82.5,11.0,1
1987-10-01,25.9,23.5,32.5,27.9,33.7,5.8,25.4,5.9,22.6,49.0,82.1,9.0,1
1987-11-01,25.7,22.9,31.7,27.3,33.3,4.5,25.1,77.7,347.6,54.0,84.0,17.0,2
1987-12-01,26.0,22.7,30.4,26.4,32.8,4.8,24.4,24.3,72.8,57.0,84.6,11.0,1
1988-01-01,25.8,23.2,30.8,26.8,33.1,5.9,24.7,69.0,237.5,57.0,84.3,15.0,2
1988-02-01,25.9,23.6,32.0,27.1,33.8,6.7,24.9,46.7,158.1,55.0,83.2,9.0,1
1988-03-01,25.9,22.5,31.3,27.3,34.7,5.2,25.3,70.1,186.8,45.0,85.3,15.0,2
1988-04-01,25.7,24.2,32.4,27.8,33.7,5.4,25.7,22.8,109.6,54.0,84.5,13.0,1
1988-05-01,26.0,23.3,32.0,28.4,34.2,5.6,26.0,76.7,229.6,53.0,82.7,14.0,1
1988-06-01,25.4,22.2,31.8,28.0,33.6,6.5,25.5,69.4,252.2,45.0,81.6,13.0,1
1988-07-01,26.2,21.0,31.2,27.3,33.8,6.0,25.2,75.6,305.4,57.0,84.0,15.0,2
1988-08-01,26.0,22.6,30.8,27.0,32.7,4.9,25.0,19.0,80.1,54.0,84.9,14.0,1
1988-09-01,26.5,21.7,31.0,27.1,33.3,4.8,25.0,187.3,440.4,51.0,84.5,14.0,1
1988-10-01,25.7,22.4,31.5,27.5,34.5,4.1,25.2,39.8,134.6,46.0,83.2,17.0,2
1988-11-01,25.7,22.1,30.3,26.3,32.8,3.7,24.6,111.9,401.4,58.0,86.8,23.0,2
1988-12-01,25.4,23.0,30.4,26.2,31.6,5.7,23.7,22.0,62.9,58.0,81.1,11.0,1
1989-01-01,25.9,22.6,30.9,26.5,32.8,5.8,24.4,53.0,189.7,55.0,84.1,10.0,1
1989-02-01,26.0,22.3,31.8,26.6,33.3,6.7,23.7,48.4,52.4,51.0,78.3,3.0,0
1989-03-01,25.8,22.6,31.0,26.3,32.5,4.5,24.7,63.5,305.9,60.0,87.6,21.0,2
1989-04-01,26.0,21.9,31.8,27.0,34.5,5.7,25.2,39.0,198.6,53.0,86.4,17.0,2
1989-05-01,26.0,21.2,31.5,27.3,33.3,5.2,25.5,38.2,194.0,55.0,86.6,12.0,1
1989-06-01,25.8,22.3,31.7,27.5,33.2,6.0,25.2,45.9,117.6,53.0,83.3,12.0,1
1989-07-01,25.7,22.2,31.6,27.7,32.7,6.0,25.4,33.3,157.6,53.0,82.6,12.0,1
1989-08-01,25.9,21.5,31.0,27.1,33.3,5.3,25.0,81.4,201.0,48.0,83.7,18.0,2
1989-09-01,25.9,21.3,30.8,26.9,32.7,5.5,24.8,102.2,247.3,50.0,84.4,14.0,1
1989-10-01,26.1,21.1,31.3,27.1,32.9,5.5,24.9,24.9,111.0,51.0,83.7,16.0,2
1989-11-01,25.9,22.6,31.0,26.7,32.8,5.4,24.8,148.6,508.4,56.0,86.0,20.0,2
1989-12-01,25.2,22.5,30.2,26.3,32.0,4.8,24.4,44.2,179.7,58.0,85.5,18.0,2
1990-01-01,26.1,22.4,30.3,26.2,32.1,5.3,24.0,73.9,147.4,52.0,83.8,13.0,1
1990-02-01,26.3,24.0,32.4,27.6,34.0,8.9,25.0,6.6,24.1,38.0,80.9,8.0,1
1990-03-01,26.2,21.4,33.3,28.2,34.7,8.3,25.1,48.6,94.2,39.0,77.6,4.0,0
1990-04-01,25.7,23.1,33.4,28.5,35.0,6.3,25.9,12.0,52.4,44.0,81.2,10.0,1
1990-05-01,26.1,23.0,32.8,28.6,34.6,6.5,25.9,153.7,180.1,45.0,81.1,11.0,1
1990-06-01,26.6,21.9,32.4,28.3,33.8,6.3,25.7,76.1,112.6,46.0,80.7,9.0,1
1990-07-01,26.0,22.6,31.4,27.5,33.5,5.9,25.1,44.5,124.0,53.0,82.7,12.0,1
1990-08-01,26.2,21.1,31.4,28.0,33.9,5.8,25.6,38.3,146.6,46.0,82.3,13.0,1
1990-09-01,25.6,21.2,31.3,27.2,33.3,5.1,25.0,44.5,204.5,39.0,83.2,17.0,2
1990-10-01,25.8,23.7,31.8,27.5,33.3,5.9,25.2,20.2,56.4,50.0,83.5,12.0,1
1990-11-01,26.1,22.4,31.3,27.2,34.0,4.6,25.0,46.9,180.4,49.0,83.5,17.0,2
1990-12-01,25.9,22.9,30.2,26.3,31.8,5.5,24.5,33.5,201.1,58.0,86.0,16.0,2
1991-01-01,26.1,22.7,30.9,26.7,33.1,5.6,24.6,36.2,123.9,50.0,84.1,13.0,1
1991-02-01,26.0,22.7,31.8,27.1,33.5,7.0,24.6,17.9,45.5,51.0,81.6,7.0,1
1991-03-01,25.9,22.5,32.4,27.8,34.0,7.1,25.0,48.6,92.4,50.0,79.9,10.0,1
1991-04-01,26.2,22.8,32.3,27.7,34.1,5.8,25.6,32.2,134.2,49.0,84.3,13.0,1
1991-05-01,25.8,22.6,31.5,27.7,33.2,5.1,25.9,44.0,256.4,57.0,86.6,23.0,2
1991-06-01,26.0,23.5,32.2,28.6,33.6,7.1,26.0,55.6,88.7,56.0,81.0,9.0,1
1991-07-01,25.9,23.1,32.1,28.5,34.0,6.7,25.5,10.7,37.3,44.0,78.7,8.0,1
1991-08-01,26.1,22.4,32.2,28.2,33.6,5.3,25.4,129.9,226.2,43.0,79.8,8.0,1
1991-09-01,25.3,23.0,31.3,27.5,32.5,4.1,25.3,53.6,123.1,58.0,83.0,12.0,1
1991-10-01,26.0,22.9,31.8,27.5,33.4,4.2,25.0,20.4,52.0,40.0,81.4,5.0,1
1991-11-01,26.5,22.0,30.6,26.3,32.6,3.5,24.5,75.2,205.0,53.0,86.5,19.0,2
1991-12-01,25.9,22.2,29.1,25.6,31.5,3.0,24.4,79.4,492.3,61.0,90.7,19.0,2
1992-01-01,25.9,22.1,30.7,26.6,31.8,6.6,24.3,56.2,83.9,55.0,82.4,9.0,1
1992-02-01,25.6,22.3,32.1,27.5,33.1,7.7,24.8,43.2,62.4,49.0,80.5,4.0,0
1992-03-01,25.8,22.9,33.0,28.2,34.7,7.4,25.5,35.1,67.6,54.0,80.6,6.0,1
1992-04-01,25.7,22.5,32.9,28.4,34.6,6.4,26.0,94.7,160.3,44.0,82.4,13.0,1
1992-05-01,25.8,23.5,32.5,28.1,34.1,5.7,25.9,13.7,63.1,53.0,83.3,13.0,1
1992-06-01,26.2,21.1,32.0,28.0,33.6,5.5,25.7,38.4,162.8,52.0,82.7,14.0,1
1992-07-01,26.1,22.1,30.9,27.3,33.5,4.7,25.2,97.3,290.8,55.0,83.8,19.0,2
1992-08-01,25.8,21.7,31.4,27.8,33.6,5.7,25.2,31.0,76.1,46.0,81.1,11.0,1
1992-09-01,26.2,22.9,31.5,27.3,34.0,5.0,25.0,17.5,83.6,45.0,82.9,13.0,1
1992-10-01,26.1,22.9,31.4,27.4,32.9,4.5,25.0,45.5,233.2,48.0,82.0,20.0,2
1992-11-01,25.8,22.5,30.0,26.1,32.0,3.7,24.5,120.6,474.3,59.0,87.7,18.0,2
1992-12-01,26.0,22.2,29.2,25.5,31.4,3.4,24.3,105.7,502.7,60.0,90.3,23.0,2
1993-01-01,25.7,21.9,29.9,26.2,31.6,5.5,24.3,37.2,176.4,58.0,85.7,11.0,1
1993-02-01,26.2,22.7,31.4,26.7,32.7,8.5,24.1,27.0,69.2,50.0,80.5,8.0,1
1993-03-01,25.9,22.3,30.7,26.7,32.2,5.4,24.9,56.9,250.5,56.0,86.3,14.0,1
1993-04-01,26.2,21.7,31.9,27.6,33.5,6.4,25.5,56.7,283.9,51.0,84.5,20.0,2
1993-05-01,25.7,22.5,31.9,28.2,34.2,6.0,25.9,37.2,129.9,46.0,82.9,10.0,1
1993-06-01,26.0,22.7,31.9,28.5,33.3,6.2,25.8,29.4,115.5,50.0,80.9,17.0,2
1993-07-01,26.1,22.5,31.1,27.9,32.8,5.2,25.6,46.4,240.0,52.0,83.2,15.0,2
1993-08-01,26.2,22.0,32.1,28.6,33.9,7.4,25.7,53.5,106.8,51.0,79.4,11.0,1
1993-09-01,25.4,22.7,31.7,27.9,33.2,5.9,25.3,42.0,61.7,45.0,81.4,7.0,1
1993-10-01,26.0,22.5,31.6,27.5,33.2,5.2,25.4,62.7,175.5,51.0,84.3,13.0,1
1993-11-01,26.1,22.7,30.9,26.9,32.5,4.7,25.2,61.3,250.8,57.0,87.4,18.0,2
1993-12-01,25.6,22.4,30.3,26.5,32.9,4.2,24.9,67.6,308.5,57.0,87.4,19.0,2
1994-01-01,26.3,23.1,30.9,26.9,32.4,6.1,24.5,17.5,56.9,50.0,82.1,7.0,1
1994-02-01,26.0,22.6,31.6,27.0,32.5,6.4,25.0,26.3,133.5,53.0,84.5,15.0,2
1994-03-01,26.0,22.9,30.5,26.8,32.2,3.5,25.1,64.2,288.2,55.0,87.1,19.0,2
1994-04-01,25.7,23.2,31.9,27.9,33.6,5.8,25.8,46.3,154.0,54.0,84.8,15.0,2
1994-05-01,25.9,22.6,31.1,28.1,32.6,5.0,26.0,45.1,169.6,52.0,84.8,16.0,2
1994-06-01,26.2,22.2,31.3,28.1,33.1,6.0,25.8,61.1,184.7,55.0,83.5,14.0,1
1994-07-01,26.1,20.5,31.6,28.4,32.7,7.6,25.5,17.0,53.8,53.0,78.9,6.0,1
1994-08-01,26.1,22.5,31.9,28.1,32.9,6.5,25.4,15.5,45.1,52.0,80.0,12.0,1
1994-09-01,25.7,22.0,31.9,28.3,34.1,3.8,25.4,11.3,23.7,37.0,78.7,6.0,1
1994-10-01,25.5,22.7,32.1,27.9,34.2,4.5,25.3,35.4,84.7,43.0,81.5,11.0,1
1994-11-01,26.1,22.4,30.5,26.7,32.5,4.5,25.2,178.3,322.2,58.0,88.4,21.0,2
1994-12-01,26.3,22.0,30.7,26.9,32.6,5.3,24.9,133.8,425.4,58.0,85.5,18.0,2
1995-01-01,25.6,21.8,30.6,26.8,32.8,5.0,25.0,108.3,349.4,59.0,86.2,21.0,2
1995-02-01,25.8,22.6,29.9,26.5,32.4,4.9,24.8,159.3,334.0,60.0,87.5,16.0,2
1995-03-01,26.3,23.1,31.8,27.6,33.2,5.9,25.4,31.1,67.7,54.0,83.9,10.0,1
1995-04-01,26.0,23.5,32.0,27.9,33.5,5.6,25.9,73.6,242.3,53.0,85.3,16.0,2
1995-05-01,25.9,23.2,32.3,28.5,34.0,6.0,26.3,32.8,84.4,54.0,83.7,11.0,1
1995-06-01,25.5,24.3,32.7,28.9,34.0,6.6,26.3,45.0,63.7,51.0,81.9,12.0,1
1995-07-01,25.7,22.8,31.2,28.0,33.0,5.2,25.7,52.3,173.6,58.0,82.6,13.0,1
1995-08-01,25.9,22.8,30.6,27.4,32.4,4.1,25.5,37.9,211.6,58.0,85.6,21.0,2
1995-09-01,26.1,22.6,32.0,28.3,33.0,5.8,25.8,5.7,29.5,51.0,81.6,7.0,1
1995-10-01,25.9,22.9,32.1,27.8,34.1,4.7,25.5,37.1,101.1,45.0,82.8,12.0,1
1995-11-01,25.8,22.5,31.0,27.0,33.3,3.7,25.2,198.6,372.8,51.0,86.8,20.0,2
1995-12-01,26.0,22.5,29.5,26.3,32.5,3.1,24.5,55.6,302.5,58.0,86.6,20.0,2
1996-01-01,25.9,22.1,30.1,26.2,32.5,5.2,24.1,39.0,173.2,54.0,84.2,10.0,1
1996-02-01,25.8,22.3,30.2,26.5,32.0,5.8,24.4,53.0,180.2,52.0,84.6,11.0,1
1996-03-01,26.0,22.2,32.4,27.8,34.4,7.7,25.1,61.8,129.7,50.0,81.0,8.0,1
1996-04-01,25.9,23.2,31.7,27.8,33.6,5.4,25.8,55.7,178.2,56.0,85.5,15.0,2
1996-05-01,25.8,22.9,32.4,28.5,33.3,7.0,26.3,18.6,107.5,55.0,83.7,15.0,2
1996-06-01,25.7,22.1,32.0,28.3,33.9,5.9,26.1,94.3,265.8,56.0,84.3,15.0,2
1996-07-01,25.0,22.1,31.5,28.3,33.3,6.7,25.9,55.3,162.3,52.0,81.9,10.0,1
1996-08-01,25.9,22.3,31.4,27.4,33.1,5.0,25.2,64.6,258.4,50.0,83.4,18.0,2
1996-09-01,26.0,22.3,31.1,27.7,33.2,4.8,25.3,66.5,297.0,52.0,82.2,18.0,2
1996-10-01,25.7,22.9,31.2,27.5,33.1,4.3,25.2,45.8,300.0,52.0,83.0,19.0,2
1996-11-01,25.8,22.4,31.5,27.3,33.6,4.4,25.1,60.5,180.2,43.0,83.5,16.0,2
1996-12-01,26.0,22.6,30.7,26.6,33.0,4.5,24.3,72.4,185.5,55.0,82.9,15.0,2
1997-01-01,25.7,23.1,31.5,27.1,33.3,7.7,24.0,13.9,15.4,48.0,77.3,3.0,0
1997-02-01,25.8,22.3,31.9,27.4,33.7,4.9,24.8,35.7,105.4,52.0,80.8,8.0,1
1997-03-01,25.8,23.7,32.8,28.1,34.2,7.0,25.2,17.4,34.3,44.0,79.6,10.0,1
1997-04-01,25.8,22.3,32.5,28.1,34.4,5.6,25.7,44.6,118.4,46.0,82.7,12.0,1
1997-05-01,26.2,24.7,33.6,29.3,35.1,6.7,26.2,35.6,41.6,49.0,77.7,6.0,1
1997-06-01,26.6,23.6,33.2,29.3,34.7,7.3,26.0,25.0,78.9,49.0,76.7,12.0,1
1997-07-01,25.4,23.6,32.4,28.8,34.0,6.5,25.5,5.4,18.6,47.0,76.5,9.0,1
1997-08-01,25.8,22.0,32.6,28.8,34.0,5.7,25.7,61.4,86.6,52.0,78.2,9.0,1
1997-09-01,26.0,24.1,32.2,28.8,33.8,3.2,25.6,24.3,31.1,43.0,77.0,3.0,0
1997-10-01,26.3,22.8,32.4,28.2,34.5,3.2,25.6,36.5,78.4,49.0,81.0,8.0,1
1997-11-01,25.7,23.5,32.0,27.8,33.7,5.4,25.4,53.6,158.3,50.0,82.8,13.0,1
1997-12-01,26.1,23.0,31.3,27.3,32.9,5.3,25.4,65.8,351.9,50.0,85.3,23.0,2
1998-01-01,26.2,23.5,31.8,28.0,33.6,7.4,25.7,79.7,268.8,53.0,83.2,13.0,1
1998-02-01,25.9,24.3,33.1,28.9,34.6,8.9,25.9,11.9,32.5,50.0,78.3,5.0,1
1998-03-01,25.6,24.4,34.1,29.5,36.0,7.6,26.3,20.9,58.8,47.0,77.8,7.0,1
1998-04-01,26.6,24.2,33.1,29.2,34.8,6.7,26.7,64.9,187.7,53.0,81.8,13.0,1
1998-05-01,26.0,24.5,33.1,29.4,34.8,5.9,26.9,83.7,370.8,53.0,82.3,18.0,2
1998-06-01,26.1,22.9,32.4,28.6,34.7,5.3,26.1,42.8,198.8,50.0,82.1,15.0,2
1998-07-01,26.2,22.7,31.5,28.1,33.6,5.1,25.6,55.8,259.2,51.0,81.8,18.0,2
1998-08-01,26.0,23.2,30.9,27.5,32.8,4.6,25.5,35.5,195.0,56.0,85.4,18.0,2
1998-09-01,26.0,22.7,31.1,27.9,33.1,4.5,25.8,52.0,258.2,47.0,84.1,17.0,2
1998-10-01,25.7,22.5,31.9,28.0,34.5,5.0,25.6,32.4,222.7,48.0,82.3,20.0,2
1998-11-01,26.1,23.4,31.7,27.9,34.1,4.6,25.4,57.5,107.2,49.0,81.9,11.0,1
1998-12-01,26.2,22.8,30.4,26.6,32.6,3.1,25.1,84.4,463.4,55.0,88.5,22.0,2
1999-01-01,26.3,22.6,30.4,26.6,32.8,3.9,25.1,52.5,193.9,60.0,88.3,19.0,2
1999-02-01,26.0,22.0,31.3,27.2,33.0,6.7,24.9,32.1,67.4,58.0,82.4,9.0,1
1999-03-01,25.5,22.0,31.5,27.1,33.0,4.3,25.5,52.4,181.4,56.0,87.5,16.0,2
1999-04-01,25.4,23.0,32.5,28.3,34.4,5.8,25.9,29.2,88.5,46.0,82.6,14.0,1
1999-05-01,26.0,23.7,31.7,28.0,34.2,5.7,25.9,42.8,157.1,52.0,84.4,13.0,1
1999-06-01,25.9,21.8,31.8,28.2,33.7,6.0,25.7,34.5,103.4,54.0,81.9,13.0,1
1999-07-01,25.3,21.6,31.2,27.8,32.9,6.8,25.4,51.4,225.4,56.0,82.7,11.0,1
1999-08-01,25.7,21.9,31.0,27.5,32.9,5.7,25.4,42.4,204.0,51.0,84.1,13.0,1
1999-09-01,25.9,22.1,31.9,27.9,33.9,6.5,25.4,41.5,125.9,50.0,81.7,13.0,1
1999-10-01,26.2,22.4,31.1,27.2,32.5,4.7,25.1,32.8,205.0,53.0,84.6,20.0,2
1999-11-01,26.1,22.9,31.3,27.3,33.4,4.7,25.1,39.0,241.5,47.0,84.4,19.0,2
1999-12-01,25.9,22.4,30.6,26.8,33.0,4.1,24.8,76.9,340.5,56.0,85.3,17.0,2
2000-01-01,26.3,22.8,29.8,26.3,31.8,4.0,24.6,127.6,275.2,60.0,86.9,14.0,1
2000-02-01,26.0,21.7,31.0,26.6,32.4,5.8,24.8,39.9,237.8,58.0,86.5,18.0,2
2000-03-01,26.0,20.2,31.9,27.2,34.0,5.8,25.3,37.9,238.3,44.0,85.8,15.0,2
2000-04-01,26.0,22.6,31.9,27.5,33.4,5.3,25.6,87.4,311.6,54.0,85.6,20.0,2
2000-05-01,25.5,22.6,32.7,28.6,34.2,6.8,26.2,36.7,96.8,49.0,82.4,10.0,1
2000-06-01,26.0,22.5,31.1,27.6,33.3,4.6,25.5,41.7,157.5,53.0,84.3,16.0,2
2000-07-01,25.6,22.1,31.6,28.1,33.1,6.5,25.7,34.6,116.1,56.0,82.6,12.0,1
2000-08-01,25.4,22.2,30.7,27.5,33.3,5.1,25.4,28.1,113.5,46.0,83.8,18.0,2
2000-09-01,26.1,23.5,32.1,28.0,34.3,6.2,25.6,25.7,81.1,48.0,82.2,12.0,1
2000-10-01,25.6,22.9,31.8,27.8,34.1,4.0,25.3,38.3,120.9,51.0,82.1,14.0,1
2000-11-01,25.3,22.9,31.3,27.3,34.2,3.7,25.6,72.0,385.7,47.0,87.1,21.0,2
