mean_sunshine_hrs,_id,month
7.6,459,2020-03
8.3,458,2020-02
7.1,457,2020-01
4.8,456,2019-12
5.5,455,2019-11
6.5,454,2019-10
6.7,453,2019-09
7.6,452,2019-08
7.5,451,2019-07
5.3,450,2019-06
7,449,2019-05
5.9,448,2019-04
8.3,447,2019-03
9.2,446,2019-02
7.1,445,2019-01
5.1,444,2018-12
3.8,443,2018-11
6.1,442,2018-10
6,441,2018-09
6.7,440,2018-08
6.1,439,2018-07
4.1,438,2018-06
5.8,437,2018-05
6.8,436,2018-04
6.4,435,2018-03
8,434,2018-02
4.1,433,2018-01
5.6,432,2017-12
4.2,431,2017-11
5.5,430,2017-10
5.7,429,2017-09
6.1,428,2017-08
7,427,2017-07
6.3,426,2017-06
5.9,425,2017-05
5.3,424,2017-04
6.1,423,2017-03
7.1,422,2017-02
4.8,421,2017-01
5.1,420,2016-12
3.5,419,2016-11
4.6,418,2016-10
5.5,417,2016-09
6.7,416,2016-08
6.3,415,2016-07
5.4,414,2016-06
6.2,413,2016-05
7,412,2016-04
8,411,2016-03
6.5,410,2016-02
7.2,409,2016-01
5.3,408,2015-12
4.8,407,2015-11
4.7,406,2015-10
4.3,405,2015-09
6.1,404,2015-08
7.1,403,2015-07
6.7,402,2015-06
5.8,401,2015-05
7.2,400,2015-04
7.3,399,2015-03
7.3,398,2015-02
7.4,397,2015-01
3.7,396,2014-12
5.4,395,2014-11
6,394,2014-10
7,393,2014-09
4.5,392,2014-08
5.5,391,2014-07
6,390,2014-06
5.8,389,2014-05
5.7,388,2014-04
8,387,2014-03
8.8,386,2014-02
5.3,385,2014-01
3.5,384,2013-12
4.5,383,2013-11
6.3,382,2013-10
4.6,381,2013-09
6.1,380,2013-08
5.7,379,2013-07
6.4,378,2013-06
5.4,377,2013-05
5.2,376,2013-04
7.5,375,2013-03
4,374,2013-02
6,373,2013-01
3.6,372,2012-12
4.4,371,2012-11
5.9,370,2012-10
5.6,369,2012-09
6.1,368,2012-08
6.2,367,2012-07
6,366,2012-06
5.6,365,2012-05
5.8,364,2012-04
4.2,363,2012-03
7,362,2012-02
6,361,2012-01
3.3,360,2011-12
4.6,359,2011-11
5.3,358,2011-10
5.1,357,2011-09
6.1,356,2011-08
7.8,355,2011-07
5,354,2011-06
5.9,353,2011-05
7.2,352,2011-04
4.6,351,2011-03
7.5,350,2011-02
4.5,349,2011-01
3.6,348,2010-12
5,347,2010-11
4.2,346,2010-10
5.7,345,2010-09
5.4,344,2010-08
4.6,343,2010-07
5.1,342,2010-06
6.5,341,2010-05
6.2,340,2010-04
6.1,339,2010-03
8.8,338,2010-02
7.1,337,2010-01
4.7,336,2009-12
4.7,335,2009-11
5.4,334,2009-10
5.6,333,2009-09
6.5,332,2009-08
6.2,331,2009-07
7,330,2009-06
6.6,329,2009-05
6.2,328,2009-04
5.5,327,2009-03
6.4,326,2009-02
6.6,325,2009-01
4.8,324,2008-12
4,323,2008-11
4.5,322,2008-10
5.1,321,2008-09
5.5,320,2008-08
4.9,319,2008-07
5.6,318,2008-06
6.6,317,2008-05
6,316,2008-04
4.3,315,2008-03
5.5,314,2008-02
6.1,313,2008-01
4.5,312,2007-12
3.5,311,2007-11
5.6,310,2007-10
5.8,309,2007-09
5.7,308,2007-08
3.8,307,2007-07
6,306,2007-06
5.5,305,2007-05
5.9,304,2007-04
5.8,303,2007-03
7.6,302,2007-02
4.1,301,2007-01
3.2,300,2006-12
5.6,299,2006-11
4.8,298,2006-10
5.3,297,2006-09
6.7,296,2006-08
6.9,295,2006-07
5.5,294,2006-06
5,293,2006-05
5.3,292,2006-04
7.1,291,2006-03
7.4,290,2006-02
4.8,289,2006-01
4.5,288,2005-12
4.4,287,2005-11
5.1,286,2005-10
6.2,285,2005-09
6.5,284,2005-08
5.4,283,2005-07
5.4,282,2005-06
5.5,281,2005-05
7,280,2005-04
7.2,279,2005-03
9.1,278,2005-02
6.5,277,2005-01
4.9,276,2004-12
5.8,275,2004-11
5,274,2004-10
5.9,273,2004-09
7.3,272,2004-08
4.2,271,2004-07
6.3,270,2004-06
6,269,2004-05
7,268,2004-04
4.8,267,2004-03
7.7,266,2004-02
6.7,265,2004-01
3.9,264,2003-12
4.2,263,2003-11
5.1,262,2003-10
5,261,2003-09
6.1,260,2003-08
5.6,259,2003-07
7,258,2003-06
5.8,257,2003-05
5.1,256,2003-04
6.9,255,2003-03
5.8,254,2003-02
4.7,253,2003-01
4.8,252,2002-12
4.6,251,2002-11
6.2,250,2002-10
5.5,249,2002-09
6.7,248,2002-08
6.8,247,2002-07
6.3,246,2002-06
6.2,245,2002-05
6.6,244,2002-04
7.6,243,2002-03
7.4,242,2002-02
6.9,241,2002-01
4.5,240,2001-12
3.7,239,2001-11
4.4,238,2001-10
6.2,237,2001-09
4.9,236,2001-08
8.1,235,2001-07
4.9,234,2001-06
6,233,2001-05
5.3,232,2001-04
5.4,231,2001-03
4.8,230,2001-02
4.4,229,2001-01
4.2,228,2000-12
3.7,227,2000-11
4,226,2000-10
6.2,225,2000-09
5.1,224,2000-08
6.5,223,2000-07
4.6,222,2000-06
6.8,221,2000-05
5.3,220,2000-04
5.8,219,2000-03
5.8,218,2000-02
4,217,2000-01
4.1,216,1999-12
4.7,215,1999-11
4.7,214,1999-10
6.5,213,1999-09
5.7,212,1999-08
6.8,211,1999-07
6,210,1999-06
5.7,209,1999-05
5.8,208,1999-04
4.3,207,1999-03
6.7,206,1999-02
3.9,205,1999-01
3.1,204,1998-12
4.6,203,1998-11
5,202,1998-10
4.5,201,1998-09
4.6,200,1998-08
5.1,199,1998-07
5.3,198,1998-06
5.9,197,1998-05
6.7,196,1998-04
7.6,195,1998-03
8.9,194,1998-02
7.4,193,1998-01
5.3,192,1997-12
5.4,191,1997-11
3.2,190,1997-10
3.2,189,1997-09
5.7,188,1997-08
6.5,187,1997-07
7.3,186,1997-06
6.7,185,1997-05
5.6,184,1997-04
7,183,1997-03
4.9,182,1997-02
7.7,181,1997-01
4.5,180,1996-12
4.4,179,1996-11
4.3,178,1996-10
4.8,177,1996-09
5,176,1996-08
6.7,175,1996-07
5.9,174,1996-06
7,173,1996-05
5.4,172,1996-04
7.7,171,1996-03
5.8,170,1996-02
5.2,169,1996-01
3.1,168,1995-12
3.7,167,1995-11
4.7,166,1995-10
5.8,165,1995-09
4.1,164,1995-08
5.2,163,1995-07
6.6,162,1995-06
6,161,1995-05
5.6,160,1995-04
5.9,159,1995-03
4.9,158,1995-02
5,157,1995-01
5.3,156,1994-12
4.5,155,1994-11
4.5,154,1994-10
3.8,153,1994-09
6.5,152,1994-08
7.6,151,1994-07
6,150,1994-06
5,149,1994-05
5.8,148,1994-04
3.5,147,1994-03
6.4,146,1994-02
6.1,145,1994-01
4.2,144,1993-12
4.7,143,1993-11
5.2,142,1993-10
5.9,141,1993-09
7.4,140,1993-08
5.2,139,1993-07
6.2,138,1993-06
6,137,1993-05
6.4,136,1993-04
5.4,135,1993-03
8.5,134,1993-02
5.5,133,1993-01
3.4,132,1992-12
3.7,131,1992-11
4.5,130,1992-10
5,129,1992-09
5.7,128,1992-08
4.7,127,1992-07
5.5,126,1992-06
5.7,125,1992-05
6.4,124,1992-04
7.4,123,1992-03
7.7,122,1992-02
6.6,121,1992-01
3,120,1991-12
3.5,119,1991-11
4.2,118,1991-10
4.1,117,1991-09
5.3,116,1991-08
6.7,115,1991-07
7.1,114,1991-06
5.1,113,1991-05
5.8,112,1991-04
7.1,111,1991-03
7,110,1991-02
5.6,109,1991-01
5.5,108,1990-12
4.6,107,1990-11
5.9,106,1990-10
5.1,105,1990-09
5.8,104,1990-08
5.9,103,1990-07
6.3,102,1990-06
6.5,101,1990-05
6.3,100,1990-04
8.3,99,1990-03
8.9,98,1990-02
5.3,97,1990-01
4.8,96,1989-12
5.4,95,1989-11
5.5,94,1989-10
5.5,93,1989-09
5.3,92,1989-08
6,91,1989-07
6,90,1989-06
5.2,89,1989-05
5.7,88,1989-04
4.5,87,1989-03
6.7,86,1989-02
5.8,85,1989-01
5.7,84,1988-12
3.7,83,1988-11
4.1,82,1988-10
4.8,81,1988-09
4.9,80,1988-08
6,79,1988-07
6.5,78,1988-06
5.6,77,1988-05
5.4,76,1988-04
5.2,75,1988-03
6.7,74,1988-02
5.9,73,1988-01
4.8,72,1987-12
4.5,71,1987-11
5.8,70,1987-10
5.4,69,1987-09
5.1,68,1987-08
6.7,67,1987-07
6.8,66,1987-06
5.6,65,1987-05
6.2,64,1987-04
6.9,63,1987-03
9.2,62,1987-02
4,61,1987-01
5.4,60,1986-12
4.5,59,1986-11
5,58,1986-10
4.8,57,1986-09
5.6,56,1986-08
6.2,55,1986-07
6.8,54,1986-06
6.1,53,1986-05
6.2,52,1986-04
4.6,51,1986-03
7.2,50,1986-02
3.9,49,1986-01
4.6,48,1985-12
4.1,47,1985-11
4.1,46,1985-10
5,45,1985-09
6.2,44,1985-08
5.3,43,1985-07
5.8,42,1985-06
5.7,41,1985-05
5.5,40,1985-04
5.6,39,1985-03
6.5,38,1985-02
8.7,37,1985-01
3.3,36,1984-12
4.3,35,1984-11
5.3,34,1984-10
4.9,33,1984-09
6,32,1984-08
5.7,31,1984-07
5.4,30,1984-06
6.4,29,1984-05
6.2,28,1984-04
5.3,27,1984-03
4.1,26,1984-02
4.1,25,1984-01
2.7,24,1983-12
3.2,23,1983-11
5.2,22,1983-10
3.8,21,1983-09
6.3,20,1983-08
5.4,19,1983-07
5.9,18,1983-06
5.9,17,1983-05
6.6,16,1983-04
8.9,15,1983-03
9.3,14,1983-02
4.3,13,1983-01
3.3,12,1982-12
5.8,11,1982-11
5.6,10,1982-10
5.2,9,1982-09
5.4,8,1982-08
7.6,7,1982-07
7.3,6,1982-06
5.8,5,1982-05
4.7,4,1982-04
5.1,3,1982-03
7.6,2,1982-02
5.6,1,1982-01
