temp_extremes_min,_id,month
24.1,459,2020-03
23.7,458,2020-02
23.8,457,2020-01
22.7,456,2019-12
22.9,455,2019-11
22.9,454,2019-10
22.9,453,2019-09
24.5,452,2019-08
23.9,451,2019-07
23.3,450,2019-06
22.8,449,2019-05
22.7,448,2019-04
22.3,447,2019-03
21.9,446,2019-02
23.5,445,2019-01
23.6,444,2018-12
22.4,443,2018-11
22.5,442,2018-10
21.4,441,2018-09
21.9,440,2018-08
21.9,439,2018-07
22.9,438,2018-06
23.6,437,2018-05
22.6,436,2018-04
23.6,435,2018-03
23.5,434,2018-02
21.3,433,2018-01
23.2,432,2017-12
23.1,431,2017-11
23.5,430,2017-10
22.3,429,2017-09
23.7,428,2017-08
23.5,427,2017-07
22.2,426,2017-06
23.6,425,2017-05
22.8,424,2017-04
22.9,423,2017-03
22.6,422,2017-02
21.8,421,2017-01
23,420,2016-12
22.7,419,2016-11
21.6,418,2016-10
22.6,417,2016-09
22.1,416,2016-08
22.5,415,2016-07
22.5,414,2016-06
23.9,413,2016-05
25.3,412,2016-04
25.4,411,2016-03
23.3,410,2016-02
22.9,409,2016-01
22.5,408,2015-12
23.7,407,2015-11
21.9,406,2015-10
23.1,405,2015-09
22.6,404,2015-08
22.1,403,2015-07
24.2,402,2015-06
24,401,2015-05
24,400,2015-04
23.4,399,2015-03
23.1,398,2015-02
23.3,397,2015-01
22.4,396,2014-12
22.2,395,2014-11
24,394,2014-10
22.4,393,2014-09
22,392,2014-08
21.1,391,2014-07
23,390,2014-06
23,389,2014-05
22.8,388,2014-04
23.6,387,2014-03
22.4,386,2014-02
22.4,385,2014-01
21.2,384,2013-12
22.9,383,2013-11
20.9,382,2013-10
21.9,381,2013-09
21.6,380,2013-08
22.9,379,2013-07
22.6,378,2013-06
22.9,377,2013-05
22.1,376,2013-04
23.9,375,2013-03
21.5,374,2013-02
21.6,373,2013-01
22.2,372,2012-12
23.4,371,2012-11
23.5,370,2012-10
22.5,369,2012-09
23.1,368,2012-08
22.9,367,2012-07
22.8,366,2012-06
22,365,2012-05
21.9,364,2012-04
21.1,363,2012-03
22.7,362,2012-02
21.5,361,2012-01
22.8,360,2011-12
22.8,359,2011-11
22.5,358,2011-10
21.5,357,2011-09
23.3,356,2011-08
22.2,355,2011-07
22.2,354,2011-06
23.4,353,2011-05
21.4,352,2011-04
21.9,351,2011-03
23.2,350,2011-02
21.6,349,2011-01
22.3,348,2010-12
21.7,347,2010-11
22.6,346,2010-10
22.6,345,2010-09
22,344,2010-08
22.4,343,2010-07
23,342,2010-06
22.9,341,2010-05
22.5,340,2010-04
22.8,339,2010-03
23.8,338,2010-02
21.8,337,2010-01
23.2,336,2009-12
23.5,335,2009-11
23.4,334,2009-10
23.1,333,2009-09
22.6,332,2009-08
22.1,331,2009-07
24,330,2009-06
21.8,329,2009-05
22.9,328,2009-04
22.3,327,2009-03
23.1,326,2009-02
23.2,325,2009-01
22.1,324,2008-12
22.5,323,2008-11
23.1,322,2008-10
22.1,321,2008-09
22.6,320,2008-08
22.7,319,2008-07
22,318,2008-06
22.1,317,2008-05
23.4,316,2008-04
21.8,315,2008-03
22.4,314,2008-02
22.9,313,2008-01
22.1,312,2007-12
22.1,311,2007-11
22.6,310,2007-10
23,309,2007-09
22.9,308,2007-08
22.6,307,2007-07
21.8,306,2007-06
22.7,305,2007-05
22.2,304,2007-04
22.5,303,2007-03
23.3,302,2007-02
23.1,301,2007-01
22.4,300,2006-12
23.5,299,2006-11
23.5,298,2006-10
22.7,297,2006-09
22.1,296,2006-08
22.6,295,2006-07
23,294,2006-06
23.6,293,2006-05
23.4,292,2006-04
23.6,291,2006-03
23.3,290,2006-02
22.1,289,2006-01
22,288,2005-12
22.6,287,2005-11
23,286,2005-10
21.8,285,2005-09
22.5,284,2005-08
21.3,283,2005-07
23.6,282,2005-06
22.6,281,2005-05
23,280,2005-04
23,279,2005-03
23.5,278,2005-02
22.5,277,2005-01
23,276,2004-12
22.8,275,2004-11
23.2,274,2004-10
23.4,273,2004-09
22.1,272,2004-08
21.1,271,2004-07
22.5,270,2004-06
23.6,269,2004-05
24.4,268,2004-04
22.2,267,2004-03
22.6,266,2004-02
22,265,2004-01
22.3,264,2003-12
23,263,2003-11
22.6,262,2003-10
22.4,261,2003-09
23,260,2003-08
22,259,2003-07
22.4,258,2003-06
23.4,257,2003-05
23.4,256,2003-04
22.8,255,2003-03
22.8,254,2003-02
23.2,253,2003-01
23,252,2002-12
23.1,251,2002-11
24.1,250,2002-10
22,249,2002-09
22.4,248,2002-08
22.9,247,2002-07
23.7,246,2002-06
23.2,245,2002-05
23,244,2002-04
23.5,243,2002-03
22.1,242,2002-02
23.4,241,2002-01
22.2,240,2001-12
23.2,239,2001-11
22.6,238,2001-10
22.8,237,2001-09
22.8,236,2001-08
23,235,2001-07
21.5,234,2001-06
22.4,233,2001-05
23.2,232,2001-04
22.7,231,2001-03
23,230,2001-02
22.7,229,2001-01
23,228,2000-12
22.9,227,2000-11
22.9,226,2000-10
23.5,225,2000-09
22.2,224,2000-08
22.1,223,2000-07
22.5,222,2000-06
22.6,221,2000-05
22.6,220,2000-04
20.2,219,2000-03
21.7,218,2000-02
22.8,217,2000-01
22.4,216,1999-12
22.9,215,1999-11
22.4,214,1999-10
22.1,213,1999-09
21.9,212,1999-08
21.6,211,1999-07
21.8,210,1999-06
23.7,209,1999-05
23,208,1999-04
22,207,1999-03
22,206,1999-02
22.6,205,1999-01
22.8,204,1998-12
23.4,203,1998-11
22.5,202,1998-10
22.7,201,1998-09
23.2,200,1998-08
22.7,199,1998-07
22.9,198,1998-06
24.5,197,1998-05
24.2,196,1998-04
24.4,195,1998-03
24.3,194,1998-02
23.5,193,1998-01
23,192,1997-12
23.5,191,1997-11
22.8,190,1997-10
24.1,189,1997-09
22,188,1997-08
23.6,187,1997-07
23.6,186,1997-06
24.7,185,1997-05
22.3,184,1997-04
23.7,183,1997-03
22.3,182,1997-02
23.1,181,1997-01
22.6,180,1996-12
22.4,179,1996-11
22.9,178,1996-10
22.3,177,1996-09
22.3,176,1996-08
22.1,175,1996-07
22.1,174,1996-06
22.9,173,1996-05
23.2,172,1996-04
22.2,171,1996-03
22.3,170,1996-02
22.1,169,1996-01
22.5,168,1995-12
22.5,167,1995-11
22.9,166,1995-10
22.6,165,1995-09
22.8,164,1995-08
22.8,163,1995-07
24.3,162,1995-06
23.2,161,1995-05
23.5,160,1995-04
23.1,159,1995-03
22.6,158,1995-02
21.8,157,1995-01
22,156,1994-12
22.4,155,1994-11
22.7,154,1994-10
22,153,1994-09
22.5,152,1994-08
20.5,151,1994-07
22.2,150,1994-06
22.6,149,1994-05
23.2,148,1994-04
22.9,147,1994-03
22.6,146,1994-02
23.1,145,1994-01
22.4,144,1993-12
22.7,143,1993-11
22.5,142,1993-10
22.7,141,1993-09
22,140,1993-08
22.5,139,1993-07
22.7,138,1993-06
22.5,137,1993-05
21.7,136,1993-04
22.3,135,1993-03
22.7,134,1993-02
21.9,133,1993-01
22.2,132,1992-12
22.5,131,1992-11
22.9,130,1992-10
22.9,129,1992-09
21.7,128,1992-08
22.1,127,1992-07
21.1,126,1992-06
23.5,125,1992-05
22.5,124,1992-04
22.9,123,1992-03
22.3,122,1992-02
22.1,121,1992-01
22.2,120,1991-12
22,119,1991-11
22.9,118,1991-10
23,117,1991-09
22.4,116,1991-08
23.1,115,1991-07
23.5,114,1991-06
22.6,113,1991-05
22.8,112,1991-04
22.5,111,1991-03
22.7,110,1991-02
22.7,109,1991-01
22.9,108,1990-12
22.4,107,1990-11
23.7,106,1990-10
21.2,105,1990-09
21.1,104,1990-08
22.6,103,1990-07
21.9,102,1990-06
23,101,1990-05
23.1,100,1990-04
21.4,99,1990-03
24,98,1990-02
22.4,97,1990-01
22.5,96,1989-12
22.6,95,1989-11
21.1,94,1989-10
21.3,93,1989-09
21.5,92,1989-08
22.2,91,1989-07
22.3,90,1989-06
21.2,89,1989-05
21.9,88,1989-04
22.6,87,1989-03
22.3,86,1989-02
22.6,85,1989-01
23,84,1988-12
22.1,83,1988-11
22.4,82,1988-10
21.7,81,1988-09
22.6,80,1988-08
21,79,1988-07
22.2,78,1988-06
23.3,77,1988-05
24.2,76,1988-04
22.5,75,1988-03
23.6,74,1988-02
23.2,73,1988-01
22.7,72,1987-12
22.9,71,1987-11
23.5,70,1987-10
21.2,69,1987-09
22.5,68,1987-08
22.5,67,1987-07
22,66,1987-06
22.4,65,1987-05
22.5,64,1987-04
23,63,1987-03
22.8,62,1987-02
22.1,61,1987-01
22.5,60,1986-12
22.8,59,1986-11
22.5,58,1986-10
21.2,57,1986-09
21.9,56,1986-08
21.9,55,1986-07
22.2,54,1986-06
22,53,1986-05
22.4,52,1986-04
22.6,51,1986-03
22.5,50,1986-02
21.5,49,1986-01
22.9,48,1985-12
22.5,47,1985-11
21.7,46,1985-10
22.1,45,1985-09
21.3,44,1985-08
21,43,1985-07
23.4,42,1985-06
23.5,41,1985-05
22.4,40,1985-04
23.1,39,1985-03
22.2,38,1985-02
22.2,37,1985-01
22,36,1984-12
22.8,35,1984-11
21.2,34,1984-10
21,33,1984-09
22.4,32,1984-08
22.5,31,1984-07
21.4,30,1984-06
21.9,29,1984-05
22.7,28,1984-04
22.1,27,1984-03
21.1,26,1984-02
21.2,25,1984-01
21.9,24,1983-12
21.3,23,1983-11
22.4,22,1983-10
22.4,21,1983-09
22.1,20,1983-08
21.4,19,1983-07
21.3,18,1983-06
23.5,17,1983-05
23.5,16,1983-04
24.3,15,1983-03
23.1,14,1983-02
23,13,1983-01
22.8,12,1982-12
23.1,11,1982-11
22.6,10,1982-10
23.5,9,1982-09
21.9,8,1982-08
22.1,7,1982-07
23.1,6,1982-06
23.7,5,1982-05
22.2,4,1982-04
22.3,3,1982-03
22.6,2,1982-02
21.9,1,1982-01
